Task,Start,Duration,Type
Review Deep RL literature,15/7/2020,60,Research
Select state-of-the-art simulator,15/9/2020,15,Research
Learn to use the simulator,30/9/2020,60,Learning
Create simulation environment,1/12/2020,30,Develop
Train first agent without DR/ADR,1/1/2021,30,Develop
Review state-of-the-art DR/ADR,1/2/2021,15,Research
Train second agent with DR/ADR,15/2/2021,30,Develop
Transfer policies to real robot,15/3/2021,30,Develop
Make a comparative between both policies,15/4/2021,30,Analysis
Write the thesis,15/3/2021,120,Writing